prod_id,Average Rating,Ratings Count
B002WBV2T8,1.0,1
B000OBLARC,4.0,1
B000OBJW1S,4.0,1
B000OBJW1I,4.0,1
B0002T3UQ0,4.0,1
B00HPMCO14,4.0,1
B000YHDJ52,4.0,1
B000001OMI,5.0,1
B000001OM4,5.0,1
B00000J1QR,5.0,1
B00GZ5E29O,4.0,1
B00004YMBK,5.0,1
B000068ILF,4.0,1
B000Y8Y8FG,4.0,1
B000Y8I3NY,4.0,1
B000CSP8IO,4.0,1
B000038AB2,5.0,1
B000068OJM,4.0,1
B00004RG6K,5.0,1
B00000JD34,5.0,1
B000MIDIE0,4.0,1
B000OEV88K,4.0,1
B000OFTRKU,4.0,1
B0000AOWWY,4.0,1
B00FFZM8RI,4.0,1
B0000AQIFY,4.0,1
B000O8AHLA,4.0,1
B00B8PRRTI,4.0,1
B000021YUO,5.0,1
B000O5MP4U,4.0,1
B00001QEMF,5.0,1
B000O50VEQ,4.0,1
B0002QYSA0,4.0,1
B000O0XW7E,4.0,1
B00E7QGHE6,4.0,1
B00001P505,5.0,1
B000OAHOVO,4.0,1
B00001OPJZ,5.0,1
B000HAOVC6,4.0,1
B00000JMUG,5.0,1
B00003006K,5.0,1
B00000J4EY,5.0,1
B00BN5Z2WM,4.0,1
B000GEDMNW,4.0,1
B000XQT4PI,4.0,1
B00H2QUBMW,4.0,1
B000WXBY7I,4.0,1
B0007CIWZG,4.0,1
B00004UE2R,5.0,1
B0001G6U48,4.0,1
B00004R8VC,5.0,1
B00004TWVY,5.0,1
B000WP2RC2,4.0,1
B00004TRD9,5.0,1
B00GSK46D8,4.0,1
B00AI95DI2,4.0,1
B00EX9J9L0,4.0,1
B00006B9HC,4.0,1
B000WO6HJW,4.0,1
B00AI2HY72,4.0,1
B00EESIPAG,4.0,1
B00004TJ7O,5.0,1
B000X3FAJU,4.0,1
B000069106,4.0,1
B00004TL5Q,5.0,1
B00AI3RRAA,4.0,1
B0001G6U9I,4.0,1
B000CSSHG4,4.0,1
B00CU2K6MS,4.0,1
B00006B9WE,4.0,1
B0007KX4TM,4.0,1
B0002EXJRA,4.0,1
B00004Y2MM,5.0,1
B000JQLPZE,4.0,1
B00C2MBTK4,4.0,1
B00H4I3WE2,4.0,1
B00004XRED,5.0,1
B000JU0NK8,4.0,1
B00004WCGC,5.0,1
B000JV6TQY,4.0,1
B0001HKIK4,4.0,1
B00H310ND8,4.0,1
B000YJMGNQ,4.0,1
B00004WCFT,5.0,1
B00CU8CJSQ,4.0,1
