Retained Products	Retained Users
B0088CJT4U		ADLVFFE4VBT8
B003ES5ZUU		A3OXHLG6DIBRW8
B002R5AM7C		A6FIAB28IS79
B00829TIEK		A680RUE1FDO8B
B008DWCRQW		A1ODOGXEYECQQ8
B000N99BBC		A5JLAU2ARJ0BO
B007WTAJTO		ARBKYIVNYWK3C
B00829THK0		A36K2N527TXXJN
B004CLYEDC		A2XRMQA6PJ5ZJ8
B0079UAT0A		A25C2M3QF9G7OQ
B004CLYEFK		A23GFTVIETX7DS
B004T9RR6I		A4WEZJOIZIV4U
B00834SJNA		AWPODHOB4GFWL
B002V88HFE		AGVWTYW0ULXHT
B002SQK2F2		A2UOHALGF2X77Q
B0034CL2ZI		A22CW0ZHY3NJH8
B004CLYEE6		A1CMD08Z49PGKQ
B00834SJSK		A3EXWV8FNSSFL6
B00ARB5FLQ		A12DQZKRKTNF5E
B00829TIA4		A3LGT6UZL99IW1
B004CLYEH8		A17BUUBOU0598B
B00AQRUW4Q		A38RMU1Y5TDP9
B00HFRWWAM		A3AYSYSLHU26U9
B00BOHNYTW		A2NOW4U7W3F7RI
B000JMJWV2		A1T1YSCDW0PD25
B002SZEOLG		AN81JUYW2SL24
B009SYZ8OC		A3CW0ZLUO5X2B1
B000VX6XL6		A31N0XY2UTB25C
B005QCDY50		A3A4ZAIBQWKOZS
B001TH7GUU		AEJAGHLC675A7
B0041Q38NU		A19W47CXJJP1MI
B000LRMS66		A1VQHH85U7PX0
B002WE6D44		A1F9Z42CFF9IAY
B0015DYMVO		A2BMZRO0H7TFCS
B001E1Y5O6		A1J75JJ0Q2OEJN
B001CHHVCU		A11KZ906QD08C5
B005CLPP84		AVPNQUVZWMDSX
B0082E9K7U		A3PD8JD9L4WEII
B0002L5R78		A3CG93783LP0FO
B00BOHNYU6		A1EH2S92FHWZRP
B00G4UQ6U8		A11I1I9QLMAM1A
B005CT56F8		ABQWMANK4AR63
B005HMKKH4		A3J8A5L5AF5TX9
B002QEBMAK		A3NHUQ33CFH3VM
B004QK7HI8		A3U41ZL33SS92P
B005FYNSPK		A3V7D0LH8L7BG0
B00884WH74		A1YEPFLLH42OU1
B009NHWVIA		A1F1A0QQP2XVH5
B001TH7GSW		A2AY4YUOX2N1BQ
B002WE4HE2		A1UQBFCERIP7VJ
B00004ZCJE		A18HE80910BTZI
B000HPV3RW		A2WLNSZ9U0T1S3
B0074BW614		A1EXGL6L0QQ0M5
B008X9ZBVI		A20DZX38KRBIT8
B0097CXWUW		A2BLFCOPSMBOZ9
B000QUUFRW		A1ZU55TM45Y2R8
B001TOD7ME		A3R4794K2RVU1S
B003M0NURK		AQIJ3ZEEVCIKU
B0063705PE		A6VPK7X53QNAQ
B006I5MKZY		A1EVV74UQYVKRY
B0081FLFQE		A2WB7LZ595CR50
B00829THEG		A250AXLRBVYKB4
B0097CZHAU		A3T7V207KRDE2O
B009HQCARY		A3QNQQKJTL76H0
B00JP12170		A1E1LEVQ9VQNK
B000BQ7GW8		AIJQU979J6UFY
B000Q8UAWY		A2HRHF83I3NDGT
B004Q3R9AQ		A2KYRPDKVBI2R4
B004TKTOWC		A2NB2E5DXE319Z
B005GM1Q1O		A1NGFGBX2VCQS8
B007BY0MIS		A3FEGTOLCWXSV4
B008ULPAT2		A3TAS1AG6FMBQW
B009HQCAPQ		AZMY6E8B52L2T
B00DR0PDNE		A6VXZ1EEPRTLV
B0019EHU8G		A376OJHLE6SU9Q
B001XURP7W		A38KK0SZYEH5UD
B0052SCU8U		A34BZM6S9L7QI4
B006DEBYWU		ABDR6IJ93HFIO
B0088PPFP4		A1BT6TL7UCIC5Y
B00CL8F98W		AEWYUPCNDV7HY
B000JE7GPY		A231WM2Z2JL0U3
B006W8U2MU		A225G2TFM76GYX
B00825BZUY		ALDAF4VVLFRHP
B008X9Z528		AT28RL25Q2OLK
B002HWRJBM		AYB4ELCS5AM8P
B003LSTD38		A32O5FZH994CNY
B004G6002M		A30X750M8V1XXW
B005I6EU48		AONUCJBC85BL
B007Q8GOGI		A3W4D8XOGLWUN5
B008ULPE70		A1X1CEGHTHMBL1
B009OZUPUC		A2HMF8ZR67BNZS
B00CD8ADKO		A2BYV7S1QP2YIG
B00DDK1QUC		A100WO06OQR8BQ
B004GCJEZU		A1IU7S4HCK1XK0
B004TPJKEY		AT6CZDCP4TRGA
B005DKZTMG		A3S3R88HA0HZG3
B007OY5V68		A1F7YU6O5RU432
